ANSWER_ID,CONTENT,IMAGE,AUDIO_LINK,QUESTION_ID,ORDER
bae93148-49bd-497c-b064-c38afb734785,A,1.0,,e1ad96b0-2ed1-4c36-be83-0dc5af7a3921,1
fecb3dde-f8bd-4d62-b924-30bc67b55694,B,2.0,,e1ad96b0-2ed1-4c36-be83-0dc5af7a3921,2
43228255-74d3-4833-aef2-0ee0d3a6e3c2,C,3.0,,e1ad96b0-2ed1-4c36-be83-0dc5af7a3921,3
c63b7339-424e-48d6-a8ef-95882f46b0fc,A,4.0,,466981ce-a417-4808-b5f5-a8b92b6e41d4,1
aa01acfa-876c-4db0-bcc3-8fdef3af0706,B,5.0,,466981ce-a417-4808-b5f5-a8b92b6e41d4,2
ecc973fd-bd35-47d9-b799-8555e56e4bb7,C,6.0,,466981ce-a417-4808-b5f5-a8b92b6e41d4,3
e69e3715-755b-449c-a372-1560c3793743,A,7.0,,c1127af4-e154-4ebd-950f-cfc6b9a4ee50,1
b0fc3440-8158-4eec-a590-3b4921a9ae6b,B,8.0,,c1127af4-e154-4ebd-950f-cfc6b9a4ee50,2
a4533ae1-4d11-4f53-ae33-c9c422278bd9,C,9.0,,c1127af4-e154-4ebd-950f-cfc6b9a4ee50,3
fe27ae6e-e44a-4b17-9aa3-65008e4bb44c,A,10.0,,fb5963cb-7671-4d44-adb4-b9014b78483a,1
91ad607c-393b-475c-9a04-f8094f237191,B,11.0,,fb5963cb-7671-4d44-adb4-b9014b78483a,2
a3d5a522-4d5a-4bdc-b11f-95f9a162b670,C,12.0,,fb5963cb-7671-4d44-adb4-b9014b78483a,3
b4a9d40c-4d06-47dd-a9c0-d9bf54ae65a6,A,13.0,,a43b27ff-03d1-42f1-b2ba-dcf57547585d,1
67e89121-24d7-4f18-99e7-daa26687b7f0,B,14.0,,a43b27ff-03d1-42f1-b2ba-dcf57547585d,2
f31e1699-d091-4560-a4c5-53b874eea26b,C,15.0,,a43b27ff-03d1-42f1-b2ba-dcf57547585d,3
3db3ffd2-3775-423b-a12e-29967edca81e,from a game website,,,1631c7bb-f048-4f5f-bf19-49a7793d7308,1
8c9d00d3-acbe-48cc-af54-f7a999c8dd0b,from a school friend,,,1631c7bb-f048-4f5f-bf19-49a7793d7308,2
c9dd57d9-eca9-4228-85ff-f0471e0a723b,from a magazine advertisement,,,1631c7bb-f048-4f5f-bf19-49a7793d7308,3
dae089f4-1f9a-4c60-a998-33e04791a855,it’s funny.,,,fcf4c1a4-dac9-47fc-8396-334bb13aad2d,1
1ad92ad0-1ab4-4afc-a420-5480b4919b6c,it’s hard.,,,fcf4c1a4-dac9-47fc-8396-334bb13aad2d,2
7babe2eb-951e-4f06-8846-bc4fc8551708,it’s new.,,,fcf4c1a4-dac9-47fc-8396-334bb13aad2d,3
