WORD,PRONUNCIATION,PART_OF_SPEECH,MEANING,TOPIC_NAME,IMAGE_LINK,CERT_LEVEL_NAME,AUDIO_LINK,LESSON_ID
good morning,ɡʊd ˈmɔːnɪŋ,interjection,chào buổi sáng,Meeting People,https://th.bing.com/th/id/OIP.rt_sKU1a3frNDmUsYZ2vsgHaHa?rs=1&pid=ImgDetMain,A1,,1
good afternoon,ɡʊd ˈɑːftənuːn,interjection,chào buổi chiều,Meeting People,https://th.bing.com/th/id/OIP.2XtT73r7HOtsLtxx6eIDCwHaHZ?rs=1&pid=ImgDetMain,A1,,1
good evening,ɡʊd ˈiːvnɪŋ,interjection,chào buổi tối,Meeting People,https://th.bing.com/th/id/R.4a432fea5552ac2312284dd59a3cda39?rik=tDxkKZSd82I2zA&pid=ImgRaw&r=0,A1,,1
good night,ɡʊd ˈnaɪt,interjection,chúc ngủ ngon,Meeting People,https://th.bing.com/th/id/OIP.1h5hC2hpfbT6FpZ5gJtmmgHaHa?rs=1&pid=ImgDetMain,A1,,1
how are you?,haʊ ə juː,phrase,bạn khỏe không?,Meeting People,https://th.bing.com/th/id/OIP.kAifV4mdOXpqOX1rjrv8IwHaH_?rs=1&pid=ImgDetMain,A1,,1
nice to meet you,naɪs tə miːt juː,phrase,rất vui được gặp bạn,Meeting People,https://th.bing.com/th/id/OIP.E8eaNFkoN9fgG-kkhylFBgHaFj?rs=1&pid=ImgDetMain,A1,,1
please,pliːz,interjection,làm ơn,Meeting People,https://th.bing.com/th/id/OIP.A91Fb8AnQy84jnTCqOJKlwAAAA?rs=1&pid=ImgDetMain,A1,,1
take care,teɪk ker,phrase,hãy chăm sóc bản thân,Meeting People,https://th.bing.com/th/id/R.06ff5216d721dffebdfffc477efc66bb?rik=4imGo1R3UXtvYg&riu=http%3a%2f%2fuchealth.com%2fwp-content%2fuploads%2f2014%2f10%2fTakeCare.jpg&ehk=xJj70H7W4qTtRhPfF2IXz5KBlb8nDfjfRXzLsKBsQko%3d&risl=&pid=ImgRaw&r=0,A1,,1
welcome,ˈwelkəm,interjection,chào mừng,Meeting People,https://th.bing.com/th/id/OIP.p3u-jFb33vqdPHHkx1yltwHaEo?rs=1&pid=ImgDetMain,A1,,1
what's up?,wɒts ʌp,phrase,có chuyện gì vậy?,Meeting People,https://th.bing.com/th/id/OIP.x0XPXT2QztHyaU5OR5dUjwHaHy?rs=1&pid=ImgDetMain,A1,,1
what's your name?,wɒts jɔː neɪm,phrase,bạn tên là gì?,Meeting People,https://th.bing.com/th/id/R.fc1beb667b00e1ccbed60e57d34a93e0?rik=MGkA8Ep64DrCQg&pid=ImgRaw&r=0,A1,,1
yes,jes,interjection,vâng,Meeting People,https://th.bing.com/th/id/R.53671936f502f3a3a4981c20ddd9ff67?rik=p6aN3CwEETxH%2fw&pid=ImgRaw&r=0,A1,,1
no,nəʊ,interjection,không,Meeting People,https://th.bing.com/th/id/R.e4ecc4d77d3d13a3643eee6f52806e19?rik=VuT%2begZ5qKqRwQ&pid=ImgRaw&r=0,A1,,1
see you later,siː juː ˈleɪtər,phrase,hẹn gặp lại sau,Meeting People,https://www.veipd.org/earlyintervention/wp-content/uploads/2022/06/see-you-later-scaled.jpg,A1,,1
one,wʌn,determiner,1,Numbers,https://cdn3.vectorstock.com/i/1000x1000/63/02/number-one-symbol-neon-sign-first-vector-21256302.jpg,A1,,1
two,tuː,determiner,2,Numbers,https://th.bing.com/th/id/OIP.qJ24xXHXJKEtx9h-4_rZwAHaF7?rs=1&pid=ImgDetMain,A1,,1
three,θriː,determiner,3,Numbers,https://th.bing.com/th/id/OIP.ugTiggsmUSVSh2ptcwbiWgHaLN?rs=1&pid=ImgDetMain,A1,,1
four,fɔːr,determiner,4,Numbers,https://th.bing.com/th/id/OIP.-pcOMKPA-jNkaap6jqzVLwHaHa?rs=1&pid=ImgDetMain,A1,,1
five,faɪv,determiner,5,Numbers,https://th.bing.com/th/id/OIP.NynhOKlsVlrN0rSyeja9awHaF6?rs=1&pid=ImgDetMain,A1,,1
six,sɪks,determiner,6,Numbers,https://th.bing.com/th/id/OIP.nKbK-hi6mehKUBnPLfEW_QHaHz?rs=1&pid=ImgDetMain,A1,,1
seven,ˈsevn,determiner,7,Numbers,https://th.bing.com/th/id/OIP.Ywh7Bgxd4Cz4x-mGl9MmEwHaIh?rs=1&pid=ImgDetMain,A1,,1
eight,eɪt,determiner,8,Numbers,https://th.bing.com/th/id/R.8ccf38bded9512346ffcf0ae60967758?rik=p%2bDc3rZ5jLbXSg&pid=ImgRaw&r=0,A1,,1
nine,naɪn,determiner,9,Numbers,https://th.bing.com/th/id/OIP.ZEaOpXsyots_rItClK86NQHaHa?rs=1&pid=ImgDetMain,A1,,1
ten,ten,determiner,10,Numbers,https://th.bing.com/th/id/OIP.FeTrPqJSY85q-pxp_EdfxwHaHa?rs=1&pid=ImgDetMain,A1,,1
eleven,ɪˈlevn,determiner,11,Numbers,https://th.bing.com/th/id/R.d7b6372d4e059c9a0f569bddb8d50372?rik=PeoGdu5Wt%2buNfQ&pid=ImgRaw&r=0,A1,,1
twelve,twelv,determiner,12,Numbers,https://thumbs.dreamstime.com/z/number-twelve-decorative-celebratory-design-93002962.jpg,A1,,1
thirteen,θɜːˈtiːn,determiner,13,Numbers,https://as1.ftcdn.net/v2/jpg/02/93/29/62/1000_F_293296239_XPgpgVcVaMM5s3B8QOdMevjW9MH3xjCL.jpg,A1,,1
fourteen,ˌfɔːˈtiːn,determiner,14,Numbers,https://thumbs.dreamstime.com/z/number-fourteen-decorative-celebratory-design-93002834.jpg,A1,,1
fifteen,ˌfɪfˈtiːn,determiner,15,Numbers,https://www.shutterstock.com/shutterstock/photos/2272976989/display_1500/stock-vector-retro-style-number-fifteen-vector-illustration-number-isolated-on-a-white-background-2272976989.jpg,A1,,1
sixteen,ˌsɪksˈtiːn,determiner,16,Numbers,https://upload.wikimedia.org/wikipedia/en/7/75/SIXTEEN_(TV_Series)_Official_Logo.jpg,A1,,1
seventeen,ˌsevnˈtiːn,determiner,17,Numbers,https://th.bing.com/th/id/OIP.mRNDtFJF_fnZkerXbWs3rQHaGc?rs=1&pid=ImgDetMain,A1,,1
eighteen,ˌeɪˈtiːn,determiner,18,Numbers,https://img.freepik.com/premium-vector/numbers-flashcards-number-eighteen-educational-math-card-children-learn-counting-numbers_648083-87.jpg?w=2000,A1,,1
nineteen,ˌnaɪnˈtiːn,determiner,19,Numbers,https://img.freepik.com/premium-vector/numbers-flashcards-number-nineteen-educational-math-card-children-learn-counting-numbers_648083-88.jpg?w=2000,A1,,1
twenty,ˈtwenti,determiner,20,Numbers,https://th.bing.com/th/id/R.ad0f705373aa4c2fc1871093a2a184ca?rik=K7m6ETG36pEbYA&pid=ImgRaw&r=0,A1,,1
thirty,ˈθɜːti,determiner,30,Numbers,https://www.freebiefindingmom.com/wp-content/uploads/2021/08/free-printable-fancy-calligraphy-numbers-calligraphy-number-30-1.jpg,A1,,1
forty,ˈfɔːti,determiner,40,Numbers,https://th.bing.com/th/id/OIP.NX2mJPDza67yGP6WJdQY3AHaHP?rs=1&pid=ImgDetMain,A1,,1
fifty,ˈfɪfti,determiner,50,Numbers,https://thumbs.dreamstime.com/z/number-fifty-decorative-retro-design-93002751.jpg,A1,,1
sixty,ˈsɪksti,determiner,60,Numbers,https://th.bing.com/th/id/OIP.U5_2_n7XK1Jj1dx2NoLulQAAAA?rs=1&pid=ImgDetMain,A1,,1
seventy,ˈsevnti,determiner,70,Numbers,https://thumbs.dreamstime.com/z/number-bright-gold-86310143.jpg,A1,,1
