WORD,PRONUNCIATION,PART_OF_SPEECH,VIETNAMESE_MEANING,TOPIC_NAME,IMAGE_LINK,CERT_LEVEL_NAME,AUDIO_LINK,LESSON_ID
automatic,ˌɔːtəˈmætɪk,adjective,tự động,Inventions and Discoveries,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
complicated,ˈkɒmplɪkeɪtɪd,adjective,phức tạp,Inventions and Discoveries,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
decrease,dɪˈkriːs,verb,giảm,Inventions and Discoveries,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
digital,ˈdɪdʒɪtl,adjective,số,Inventions and Discoveries,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
effect,ɪˈfekt,noun,hiệu ứng,Inventions and Discoveries,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
equipment,ɪˈkwɪpmənt,noun,thiết bị,Inventions and Discoveries,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
research,rɪˈsɜːtʃ,noun,nghiên cứu,Inventions and Discoveries,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
experiment,ɪkˈsperɪmənt,noun,thí nghiệm,Inventions and Discoveries,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
invent,ɪnˈvent,verb,phát minh,Inventions and Discoveries,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
gadget,ˈɡædʒɪt,noun,thiết bị,Inventions and Discoveries,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
estimate,ˈestɪmeɪt,verb,ước lượng,Inventions and Discoveries,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
laboratory,ləˈbɒrətəri,noun,phòng thí nghiệm,Inventions and Discoveries,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
discover,dɪˈskʌvər,verb,khám phá,Inventions and Discoveries,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
involve,ɪnˈvɒlv,verb,liên quan,Inventions and Discoveries,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
unique,juːˈniːk,adjective,duy nhất,Inventions and Discoveries,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
exact,ɪɡˈzækt,adjective,chính xác,Inventions and Discoveries,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
climate,ˈklaɪmət,noun,khí hậu,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
countryside,ˈkʌntrɪsaɪd,noun,nông thôn,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
extinct,ɪkˈstɪŋkt,adjective,tuyệt chủng,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
forecast,ˈfɔːkɑːst,noun,dự báo,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
